"";"unacceptable_antigens";"vpra";"count";"frequency"
"127";"A1 A2 A23 A24 A28 B62 DR8 DQ7";91,12;1;0,000145011600928074
"128";"A1 A2 A23 A24 A28 B76 DR2 DQ1";96,36;1;0,000145011600928074
"129";"A1 A2 A23 A24 A29 A32 A36 B51 B52 B44 B45 B13 B76 B38 B57 B58 B49 B27 B37 B60 B61 B47 B53 B59 Cw2 Cw5 Cw6 Cw15 Cw17 Cw18";96,07;1;0,000145011600928074
"130";"A1 A2 A23 A24 A29 A32 A68 A69 B51 B52 B57 B58 B18 B35 B53 B78 DR13 DR7";97,04;1;0,000145011600928074
"131";"A1 A2 A23 A24 A29 A69 A36 B44 B45 B76 B57 B37 B82 Cw6 Cw18 DR7 DQ2 DQ7 DQ8 DQ9 DQ4";96,98;1;0,000145011600928074
"132";"A1 A2 A23 A24 A32 A28 B49 B50 B55 B56 DR15 DR3";93,61;1;0,000145011600928074
"133";"A1 A2 A23 A24 A36 A80 B57 B58";81,21;1;0,000145011600928074
"134";"A1 A2 A23 A24 A66 A28 A80 B7 B12 B13 B76 B57 B22 B27 B40 B41 B42 B47 B48 B67 B73 B81 B82 DR10 DQ1 DQ8 DQ9 DQ4";99,94;1;0,000145011600928074
"135";"A1 A2 A23 A24 A68 A69 A36 B52 B44 B45 B13 B76 B49 B50 B35 B60 B61 B41 B46 B47 B73 B82 Cw1 Cw10 Cw9 Cw4 Cw7 Cw8 Cw12 Cw17 Cw18 DR15 DR16 DR17 DR18 DR4 DR11 DR12 DR13 DR14 DR8 DR51 DR52 DQ6 DQ7 DQ8 DQ9 DQ4";100;1;0,000145011600928074
"136";"A1 A2 A23 A24 A68 A69 A36 DR7 DR9 DQ2";89,06;1;0,000145011600928074
"137";"A1 A2 A23 A24 A68 A69 B7 B44 B45 B76 B57 B58 B60 B61 B81 B82 DR1 DR15 DR16 DR9 DR51 DQ5 DQ6 DQ2";99,42;1;0,000145011600928074
"138";"A1 A2 A23 A24 A68 A69 B7 B8 B44 B45 B64 B65 B62 B63 B75 B76 B71 B72 B39 B57 B58 B18 B50 B54 B55 B56 B35 B40 B41 B42 B48 B67 B78 B81 B82";99,12;1;0,000145011600928074
"139";"A1 A2 A23 A24 B60 DR13";86,25;1;0,000145011600928074
"140";"A1 A2 A23 A24 B8 B72 Cw7 DR17 DR7 DQ2";93,17;1;0,000145011600928074
"141";"A1 A2 A23 A25 A26 A34 A66 A11 A29 A30 A31 A32 A33 A68 A69 A36 A43 A80 B51 B52 B7 B8 B44 B13 B63 B77 B72 B38 B57 B58 B18 B49 B54 B55 B56 B27 B35 B37 B60 B42 B46 B47 B48 B53 B59 B67 B73 B78 B81 B82 Cw1 Cw10 Cw9 Cw5 Cw6 Cw7 Cw8 Cw12 Cw14 Cw15 Cw16 Cw18 DR1 DR4 DR14 DR7 DR9 DR10 DR53 DQ6 DQ8 DQ9";100;1;0,000145011600928074
"142";"A1 A2 A23 A69 A80 B51 B52 B7 B8 B13 B62 B63 B75 B76 B77 B71 B72 B38 B39 B57 B58 B18 B54 B55 B56 B27 B35 B60 B61 B41 B42 B46 B47 B48 B53 B59 B67 B78 B81 B82 Cw6 Cw12 DR1 DR15 DR16 DR4 DR11 DR12 DR13 DR7 DR8 DQ5 DQ6 DQ7 DQ8 DQ9 DQ4";100;1;0,000145011600928074
"143";"A1 A2 A23 B52 B44 B13 B63 B75 B77 B56 B61 B41 B53 DR17 DR13 DR14 DR8";92,31;1;0,000145011600928074
"144";"A1 A2 A24 A10 A11 A19 A28 A36 B51 B7 B8 B12 B13 B14 B63 B75 B76 B77 B71 B16 B18 B54 B55 B27 B35 B40 B41 B42 B48 B53 B59 B67 B73 B81 Cw1 Cw2 Cw4 Cw5 Cw6 Cw8 Cw12 Cw14 Cw15 Cw16 Cw17 Cw18 DR3 DR12 DR6 DR7 DR8 DR9 DQ1 DQ8 DQ9 DQ4";100;1;0,000145011600928074
"145";"A1 A2 A24 A10 A11 A68 A69 A36 B51 B52 B62 B63 B75 B76 B77 B71 B72 B57 B58 B49 B50 B56 B35 B46 B53 B78 DQ5 DQ6 DQ4";98,81;1;0,000145011600928074
"146";"A1 A2 A24 A10 A19 A28 A36 A43 B12 B13 B76 B21 B55 B27 B37 B40 B41 B42 B47 B73 B82 Cw7 Cw17 DR12 DR7 DR9 DR53 DQ2";99,49;1;0,000145011600928074
"147";"A1 A2 A24 A11";83,72;1;0,000145011600928074
"148";"A1 A2 A24 A11 A68 A69 B51 B52 B7 B44 B45 B13 B62 B76 B77 B72 B38 B57 B58 B49 B50 B27 B37 B60 B61 B41 B47 B53 B59 B81 B82 Cw2 Cw4 Cw5 Cw6 Cw8 Cw15 Cw17 Cw18";99,69;1;0,000145011600928074
"149";"A1 A2 A24 A19 B8 B35 Cw4 DR17 DR7 DQ2";95,26;1;0,000145011600928074
"150";"A1 A2 A24 A25 A26 A34 A66 A11 A29 A33 A68 A69 A36 A43 A80 B5 B8 B44 B45 B13 B64 B65 B62 B63 B75 B76 B77 B71 B72 B38 B39 B57 B58 B18 B49 B50 B22 B27 B35 B37 B61 B46 B47 B53 B59 B67 B78 B82 Bw4 Cw3 DR17 DR18 DR11 DR12 DR13 DR14 DR8 DQ7 DQ8 DQ9 DQ4";99,8;1;0,000145011600928074
"151";"A1 A2 A24 A26 A11 A28 A36 B76 B17 B18 DR7 DR8 DR9 DQ4";94,98;1;0,000145011600928074
"152";"A1 A2 A24 A26 A11 A29 A30 A32 A68 A69 B51 B52 B13 B18 B49 B27 B60 B61 B53 Cw10 Cw9 DR1 DQ5";98,39;1;0,000145011600928074
"153";"A1 A2 A24 A26 A11 A29 A43 A80 B44 B45 B76 B57 B58 B82 DQ2";94,27;1;0,000145011600928074
"154";"A1 A2 A24 A26 A29 A36 A43 A80 B12 B13 B15 B17 B21 B40 B41 B47 Cw15 DR1 DR3 DR11 DR6 DR7 DQ5 DQ2";99,01;1;0,000145011600928074
"155";"A1 A2 A24 A28 B7 B8 B12 B18 B55 B60 DR3 DR4 DR11";97,12;1;0,000145011600928074
"156";"A1 A2 A24 A34 A28";83,05;1;0,000145011600928074
"157";"A1 A2 A24 A36 B37 B60 Cw2 DR13 DQ6 DQ2 DQ7";97,5;1;0,000145011600928074
"158";"A1 A2 A24 A68 A69 B18 B35 Cw4";90,33;1;0,000145011600928074
"159";"A1 A2 A25 A26 A29 A28 A36 A43 A80 B5 B8 B12 B13 B15 B70 B17 B21 B56 B35 B46 B53 B78 Cw2 Cw3 Cw5 Cw6 DR3 DR4 DR5 DR6 DR7 DR9 DR10 DR52 DR53 DQ5 DQ2 DQ3";99,66;1;0,000145011600928074
"160";"A1 A2 A25 A26 A34 A66 A11 A29 A30 A31 A32 A33 A74 A68 A69 A36 A43 A80 B51 B52 B7 B8 B44 B64 B65 B62 B63 B75 B76 B77 B71 B72 B38 B39 B57 B58 B18 B54 B55 B56 B27 B37 B61 B41 B42 B46 B47 B59 B67 B73 B78 B81 B82 Cw1 Cw5 Cw7 Cw8 Cw12 Cw17 DR1 DR15 DR16 DR18 DR12 DR7 DR9 DR10 DR51";99,92;1;0,000145011600928074
