time	rcs1	rcs2	rcs3	tvc1_rcs1	tvc1_rcs2
7764	1.1351046474	-1.693584232	-3.448978914	1.1351046474	-1.802079442
7765	1.135177138	-1.693758921	-3.449606157	1.135177138	-1.802272701
7766	1.1352496192	-1.693933587	-3.450233319	1.1352496192	-1.802465936
7767	1.1353220911	-1.694108231	-3.4508604	1.1353220911	-1.802659145
7768	1.1353945537	-1.694282852	-3.4514874	1.1353945537	-1.802852329
7769	1.1354670069	-1.694457451	-3.45211432	1.1354670069	-1.803045489
7770	1.1355394509	-1.694632027	-3.452741159	1.1355394509	-1.803238623
7771	1.1356118855	-1.694806581	-3.453367918	1.1356118855	-1.803431733
7772	1.1356843107	-1.694981112	-3.453994596	1.1356843107	-1.803624818
7773	1.1357567267	-1.695155621	-3.454621193	1.1357567267	-1.803817878
7774	1.1358291333	-1.695330108	-3.455247709	1.1358291333	-1.804010913
7775	1.1359015307	-1.695504572	-3.455874145	1.1359015307	-1.804203924
7776	1.1359739187	-1.695679013	-3.456500501	1.1359739187	-1.804396909
7777	1.1360462974	-1.695853433	-3.457126776	1.1360462974	-1.80458987
7778	1.1361186668	-1.696027829	-3.45775297	1.1361186668	-1.804782806
7779	1.1361910269	-1.696202204	-3.458379084	1.1361910269	-1.804975717
7780	1.1362633777	-1.696376555	-3.459005117	1.1362633777	-1.805168604
7781	1.1363357192	-1.696550885	-3.45963107	1.1363357192	-1.805361465
7782	1.1364080514	-1.696725192	-3.460256943	1.1364080514	-1.805554302
7783	1.1364803743	-1.696899477	-3.460882735	1.1364803743	-1.805747114
7784	1.1365526879	-1.697073739	-3.461508446	1.1365526879	-1.805939901
7785	1.1366249922	-1.697247979	-3.462134078	1.1366249922	-1.806132664
7786	1.1366972873	-1.697422196	-3.462759629	1.1366972873	-1.806325402
7787	1.136769573	-1.697596392	-3.463385099	1.136769573	-1.806518114
7788	1.1368418495	-1.697770564	-3.46401049	1.1368418495	-1.806710803
7789	1.1369141167	-1.697944715	-3.464635799	1.1369141167	-1.806903466
7790	1.1369863746	-1.698118843	-3.465261029	1.1369863746	-1.807096105
7791	1.1370586233	-1.698292948	-3.465886179	1.1370586233	-1.807288719
7792	1.1371308626	-1.698467032	-3.466511248	1.1371308626	-1.807481308
7793	1.1372030927	-1.698641093	-3.467136237	1.1372030927	-1.807673873
7794	1.1372753136	-1.698815132	-3.467761146	1.1372753136	-1.807866413
7795	1.1373475251	-1.698989148	-3.468385974	1.1373475251	-1.808058928
7796	1.1374197274	-1.699163142	-3.469010723	1.1374197274	-1.808251418
7797	1.1374919205	-1.699337114	-3.469635391	1.1374919205	-1.808443884
7798	1.1375641042	-1.699511063	-3.470259979	1.1375641042	-1.808636325
7799	1.1376362788	-1.69968499	-3.470884487	1.1376362788	-1.808828742
7800	1.137708444	-1.699858895	-3.471508915	1.137708444	-1.809021134
7801	1.1377806001	-1.700032777	-3.472133263	1.1377806001	-1.809213501
7802	1.1378527468	-1.700206638	-3.472757531	1.1378527468	-1.809405843
7803	1.1379248843	-1.700380476	-3.473381719	1.1379248843	-1.809598161
7804	1.1379970126	-1.700554291	-3.474005827	1.1379970126	-1.809790454
7805	1.1380691317	-1.700728085	-3.474629855	1.1380691317	-1.809982722
