time	rcs1	rcs2	rcs3	tvc1_rcs1	tvc1_rcs2	tvc2_rcs1	tvc2_rcs2
213	-0.888892773	1.4165453848	-1.156311071	-0.888892773	1.3022099346	-0.888892773	1.3022099346
214	-0.886256455	1.4160035914	-1.150000217	-0.886256455	1.302369771	-0.886256455	1.302369771
215	-0.883632426	1.4154515971	-1.143696652	-0.883632426	1.3025185663	-0.883632426	1.3025185663
216	-0.881020575	1.4148895444	-1.137400392	-0.881020575	1.3026564617	-0.881020575	1.3026564617
217	-0.878420787	1.4143175736	-1.131111453	-0.878420787	1.3027835962	-0.878420787	1.3027835962
218	-0.875832952	1.4137358226	-1.124829848	-0.875832952	1.3029001066	-0.875832952	1.3029001066
219	-0.873256962	1.4131444272	-1.11855559	-0.873256962	1.3030061275	-0.873256962	1.3030061275
220	-0.870692706	1.4125435251	-1.112288726	-0.870692706	1.3031017914	-0.870692706	1.3031017914
221	-0.868140081	1.4119332692	-1.106029436	-0.868140081	1.3031872285	-0.868140081	1.3031872285
222	-0.865598979	1.4113138141	-1.099777928	-0.865598979	1.3032625672	-0.865598979	1.3032625672
223	-0.863069298	1.4106853112	-1.093534404	-0.863069298	1.3033279338	-0.863069298	1.3033279338
224	-0.860550936	1.4100479097	-1.087299061	-0.860550936	1.3033834525	-0.860550936	1.3033834525
225	-0.858043791	1.4094017558	-1.081072088	-0.858043791	1.3034292458	-0.858043791	1.3034292458
226	-0.855547765	1.4087469931	-1.074853672	-0.855547765	1.3034654341	-0.855547765	1.3034654341
227	-0.853062759	1.4080837629	-1.068643991	-0.853062759	1.3034921359	-0.853062759	1.3034921359
228	-0.850588675	1.4074122038	-1.062443219	-0.850588675	1.3035094681	-0.850588675	1.3035094681
229	-0.84812542	1.4067324519	-1.056251525	-0.84812542	1.3035175456	-0.84812542	1.3035175456
230	-0.845672897	1.4060446411	-1.050069072	-0.845672897	1.3035164817	-0.845672897	1.3035164817
231	-0.843231015	1.4053489028	-1.043896021	-0.843231015	1.3035063879	-0.843231015	1.3035063879
232	-0.84079968	1.4046453662	-1.037732523	-0.84079968	1.3034873739	-0.84079968	1.3034873739
233	-0.838378803	1.4039341583	-1.031578729	-0.838378803	1.303459548	-0.838378803	1.303459548
234	-0.835968294	1.4032154037	-1.025434784	-0.835968294	1.3034230166	-0.835968294	1.3034230166
235	-0.833568064	1.402489225	-1.019300827	-0.833568064	1.3033778847	-0.833568064	1.3033778847
236	-0.831178027	1.4017557427	-1.013176994	-0.831178027	1.3033242556	-0.831178027	1.3033242556
237	-0.828798095	1.4010150752	-1.007063418	-0.828798095	1.3032622312	-0.828798095	1.3032622312
238	-0.826428184	1.4002673388	-1.000960225	-0.826428184	1.3031919117	-0.826428184	1.3031919117
239	-0.82406821	1.3995126479	-0.994867539	-0.82406821	1.303113396	-0.82406821	1.303113396
240	-0.821718089	1.398751115	-0.988785481	-0.821718089	1.3030267815	-0.821718089	1.3030267815
